OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
171866,5640_3794_4_3,37.66562500000,140.93281300000,2011/7/2,164670.34380000000,10
171867,5640_3794_4_4,37.66562500000,140.93593800000,2011/7/2,154025.12500000000,10
171868,5640_3795_1_1,37.65937500000,140.93906300000,2011/7/2,154551.71880000000,10
171870,5640_3795_1_3,37.66145800000,140.93906300000,2011/7/2,153985.92190000000,10
171871,5640_3795_1_4,37.66145800000,140.94218800000,2011/7/2,147313.46880000000,10
171874,5640_3795_2_3,37.66145800000,140.94531300000,2011/7/2,140960.04690000000,10
171876,5640_3795_3_1,37.66354200000,140.93906300000,2011/7/2,151913.39060000000,10
171877,5640_3795_3_2,37.66354200000,140.94218800000,2011/7/2,145893.67190000000,10
171878,5640_3795_3_3,37.66562500000,140.93906300000,2011/7/2,146291.76560000000,10
171900,5640_3797_1_1,37.65937500000,140.96406300000,2011/7/2,102413.25000000000,70
171901,5640_3797_1_2,37.65937500000,140.96718800000,2011/7/2,97005.55469000000,20
171889,5640_3796_2_2,37.65937500000,140.96093800000,2011/7/2,107719.01560000000,70
171890,5640_3796_2_3,37.66145800000,140.95781300000,2011/7/2,116711.12500000000,70
171891,5640_3796_2_4,37.66145800000,140.96093800000,2011/7/2,107774.94530000000,70
171932,5640_3799_1_1,37.65937500000,140.98906300000,2011/7/2,75002.28125000000,50
171933,5640_3799_1_2,37.65937500000,140.99218800000,2011/7/2,77537.91406000000,50
171934,5640_3799_1_3,37.66145800000,140.98906300000,2011/7/2,75440.25781000000,50
171935,5640_3799_1_4,37.66145800000,140.99218800000,2011/7/2,77010.04688000000,50
171937,5640_3799_2_2,37.65937500000,140.99843800000,2011/7/2,76841.39063000000,50
171944,5640_3799_4_1,37.66354200000,140.99531300000,2011/7/2,75756.67188000000,50
171945,5640_3799_4_2,37.66354200000,140.99843800000,2011/7/2,73495.95313000000,50
171941,5640_3799_3_2,37.66354200000,140.99218800000,2011/7/2,76007.35938000000,10
171946,5640_3799_4_3,37.66562500000,140.99531300000,2011/7/2,73098.93750000000,10
171659,5640_3781_4_4,37.65729200000,140.89843800000,2011/7/2,379597.71880000000,60
171840,5640_3793_2_1,37.65937500000,140.92031300000,2011/7/2,225398.32810000000,91
171734,5640_3786_3_3,37.65729200000,140.95156300000,2011/7/2,135130.89060000000,50
171735,5640_3786_3_4,37.65729200000,140.95468800000,2011/7/2,127400.09380000000,100
171750,5640_3787_3_3,37.65729200000,140.96406300000,2011/7/2,103076.53130000000,20
171770,5640_3788_4_3,37.65729200000,140.98281300000,2011/7/2,75834.67188000000,70
171783,5640_3789_3_4,37.65729200000,140.99218800000,2011/7/2,77947.60156000000,70
171658,5640_3781_4_3,37.65729200000,140.89531300000,2011/7/2,404453.90630000000,10
171807,5640_3791_1_4,37.66145800000,140.89218800000,2011/7/2,405904.06250000000,10
171808,5640_3791_2_1,37.65937500000,140.89531300000,2011/7/2,395779.78130000000,10
171809,5640_3791_2_2,37.65937500000,140.89843800000,2011/7/2,373604.93750000000,10
